time,open,high,low,close,Resistance Zone - 1 - High,Resistance Zone - 1 - Low,Support Zone - 1 - High,Support Zone - 1 - Low,Supply Demand - 1 - High,Supply Demand - 1 - Low,Resistance Zone - 2 - High,Resistance Zone - 2 - Low,Support Zone - 2 - High,Support Zone - 2 - Low,Supply Demand - 2 - High,Supply Demand - 2 - Low,Resistance Zone - 3 - High,Resistance Zone - 3 - Low,Support Zone - 3 - High,Support Zone - 3 - Low,Supply Demand - 3 - High,Supply Demand - 3 - Low,Resistance Zone - 4 - High,Resistance Zone - 4 - Low,Support Zone - 4 - High,Support Zone - 4 - Low,Supply Demand - 4 - High,Supply Demand - 4 - Low,Plot,Plot,Plot,Plot,Plot,Plot,Plot,Plot,Plot,Plot
2016-03-31,28642,28880,28623,28751,NaN,NaN,NaN,NaN,NaN,NaN,29805,29340,24835,24565,29805,29340,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,10,15,20,25,30,35,40,45,50
2016-04-01,28729,28864,28305,28466,NaN,NaN,NaN,NaN,NaN,NaN,29805,29340,24835,24565,29805,29340,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,10,15,20,25,30,35,40,45,50
2016-04-04,28416,28460,28303,28374,NaN,NaN,NaN,NaN,NaN,NaN,29805,29340,24835,24565,29805,29340,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,10,15,20,25,30,35,40,45,50
2016-04-05,28485,28947,28477,28761,NaN,NaN,NaN,NaN,NaN,NaN,29805,29340,24835,24565,29805,29340,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,10,15,20,25,30,35,40,45,50
2016-04-06,28785,28847,28579,28646,NaN,NaN,NaN,NaN,NaN,NaN,29805,29340,24835,24565,29805,29340,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,10,15,20,25,30,35,40,45,50
2016-04-07,28690,29140,28690,29060,NaN,NaN,NaN,NaN,NaN,NaN,29805,29340,24835,24565,29805,29340,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,10,15,20,25,30,35,40,45,50
2016-04-08,29145,29152,28851,29131,NaN,NaN,NaN,NaN,NaN,NaN,29805,29340,24835,24565,29805,29340,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,10,15,20,25,30,35,40,45,50
2016-04-11,29181,29400,29135,29330,NaN,NaN,NaN,NaN,NaN,NaN,29805,29340,24835,24565,29805,29340,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,10,15,20,25,30,35,40,45,50
2016-04-12,29284,29495,29240,29336,NaN,NaN,NaN,NaN,NaN,NaN,29805,29340,24835,24565,29805,29340,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,10,15,20,25,30,35,40,45,50
2016-04-13,29286,29286,29058,29202,NaN,NaN,NaN,NaN,NaN,NaN,29805,29340,24835,24565,29805,29340,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,10,15,20,25,30,35,40,45,50
2016-04-14,29050,29090,28715,28760,NaN,NaN,NaN,NaN,NaN,NaN,29805,29340,24835,24565,29805,29340,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,10,15,20,25,30,35,40,45,50
2016-04-15,28825,28993,28806,28959,NaN,NaN,NaN,NaN,NaN,NaN,29805,29340,24835,24565,29805,29340,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,10,15,20,25,30,35,40,45,50
2016-04-18,29010,29170,28934,28983,NaN,NaN,NaN,NaN,NaN,NaN,29805,29340,24835,24565,29805,29340,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,10,15,20,25,30,35,40,45,50
2016-04-19,29050,29375,29050,29326,NaN,NaN,NaN,NaN,NaN,NaN,29805,29340,24835,24565,29805,29340,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,10,15,20,25,30,35,40,45,50
2016-04-20,29324,29418,29170,29317,NaN,NaN,NaN,NaN,NaN,NaN,29805,29340,24835,24565,29805,29340,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,10,15,20,25,30,35,40,45,50
2016-04-21,29255,29756,29210,29357,NaN,NaN,NaN,NaN,NaN,NaN,29805,29340,24835,24565,29805,29340,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,10,15,20,25,30,35,40,45,50
2016-04-22,29373,29420,28986,29021,NaN,NaN,NaN,NaN,NaN,NaN,29805,29340,24835,24565,29805,29340,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,10,15,20,25,30,35,40,45,50
2016-04-25,29092,29300,29060,29262,NaN,NaN,NaN,NaN,NaN,NaN,29805,29340,24835,24565,29805,29340,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,10,15,20,25,30,35,40,45,50
2016-04-26,29287,29287,29013,29202,NaN,NaN,NaN,NaN,NaN,NaN,29805,29340,24835,24565,29805,29340,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,10,15,20,25,30,35,40,45,50
2016-04-27,29246,29435,29246,29383,NaN,NaN,NaN,NaN,NaN,NaN,29805,29340,24835,24565,29805,29340,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,10,15,20,25,30,35,40,45,50
2016-04-28,29350,29727,29275,29686,NaN,NaN,NaN,NaN,NaN,NaN,29805,29340,24835,24565,29805,29340,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,10,15,20,25,30,35,40,45,50
2016-04-29,29749,30375,29749,30266,NaN,NaN,NaN,NaN,NaN,NaN,29805,29340,24835,24565,29805,29340,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,10,15,20,25,30,35,40,45,50
2016-05-02,30300,30538,30240,30294,NaN,NaN,NaN,NaN,NaN,NaN,29805,29340,24835,24565,29805,29340,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,10,15,20,25,30,35,40,45,50
2016-05-03,30285,30448,30126,30224,NaN,NaN,NaN,NaN,NaN,NaN,29805,29340,24835,24565,29805,29340,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,10,15,20,25,30,35,40,45,50
2016-05-04,30150,30314,29966,29991,NaN,NaN,NaN,NaN,NaN,NaN,29805,29340,24835,24565,29805,29340,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,10,15,20,25,30,35,40,45,50
2016-05-05,30120,30180,29860,29897,NaN,NaN,NaN,NaN,NaN,NaN,29805,29340,24835,24565,29805,29340,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,10,15,20,25,30,35,40,45,50
2016-05-06,30120,30420,30000,30378,NaN,NaN,NaN,NaN,NaN,NaN,29805,29340,24835,24565,29805,29340,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,10,15,20,25,30,35,40,45,50
2016-05-09,30215,30215,29765,29805,NaN,NaN,NaN,NaN,NaN,NaN,29805,29340,24835,24565,29805,29340,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,10,15,20,25,30,35,40,45,50
2016-05-10,29797,29864,29607,29783,NaN,NaN,NaN,NaN,NaN,NaN,29805,29340,24835,24565,29805,29340,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,10,15,20,25,30,35,40,45,50
2016-05-11,29901,30075,29835,29935,NaN,NaN,NaN,NaN,NaN,NaN,29805,29340,24835,24565,29805,29340,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,10,15,20,25,30,35,40,45,50
2016-05-12,29886,30095,29757,29901,NaN,NaN,NaN,NaN,NaN,NaN,29805,29340,24835,24565,29805,29340,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,10,15,20,25,30,35,40,45,50
2016-05-13,29943,30068,29750,30034,NaN,NaN,NaN,NaN,NaN,NaN,29805,29340,24835,24565,29805,29340,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,10,15,20,25,30,35,40,45,50
2016-05-16,30064,30269,29912,29977,NaN,NaN,NaN,NaN,NaN,NaN,29805,29340,24835,24565,29805,29340,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,10,15,20,25,30,35,40,45,50
2016-05-17,29999,30140,29855,30049,NaN,NaN,NaN,NaN,NaN,NaN,29805,29340,24835,24565,29805,29340,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,10,15,20,25,30,35,40,45,50
2016-05-18,30041,30083,29911,30055,NaN,NaN,NaN,NaN,NaN,NaN,29805,29340,24835,24565,29805,29340,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,10,15,20,25,30,35,40,45,50
